2026-03-04T23:17:48.973384 | STOP_HOOK_START | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | event=Stop
2026-03-04T23:17:49.030188 | STOP_HOOK_END | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | captured=0
2026-03-04T23:22:48.218903 | STOP_HOOK_START | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | event=Stop
2026-03-04T23:22:48.281849 | STOP_HOOK_END | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | captured=0
2026-03-04T23:23:08.319369 | STOP_HOOK_START | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | event=Stop
2026-03-04T23:23:08.378039 | STOP_HOOK_END | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | captured=0
2026-03-04T23:37:48.253126 | STOP_HOOK_START | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | event=Stop
2026-03-04T23:37:48.318542 | STOP_HOOK_END | session=9ac55d30-f3be-422d-bbac-5eba53c9a4b4 | captured=0
2026-03-04T23:49:42.691289 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-04T23:49:42.726733 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-04T23:58:29.651569 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-04T23:58:29.689876 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:02:01.629630 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:02:01.673087 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:03:15.290450 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:03:15.333105 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:09:34.671956 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:09:34.725532 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:11:16.375486 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:11:16.425080 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:16:34.028320 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:16:34.100258 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:24:00.171667 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:24:00.225058 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:31:33.059704 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:31:33.109960 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T00:41:48.367707 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T00:41:48.422371 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
2026-03-05T01:06:05.371576 | STOP_HOOK_START | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | event=Stop
2026-03-05T01:06:05.428862 | STOP_HOOK_END | session=1e1bcb67-a72d-4341-9e37-040d7f1885fa | captured=0
