2026-03-07T16:44:09.892356 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T16:44:09.908003 | STOP_HOOK_ERROR | session=c53e2ca3-204a-4266-bc27-e77653e8219a | schema_migration_failed
2026-03-07T16:44:26.035448 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T16:44:26.051072 | STOP_HOOK_ERROR | session=c53e2ca3-204a-4266-bc27-e77653e8219a | schema_migration_failed
2026-03-07T16:45:24.330772 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T16:45:24.382997 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
2026-03-07T16:56:27.016978 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T16:56:27.071661 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
2026-03-07T17:17:44.555756 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T17:17:44.621815 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
2026-03-07T17:28:03.900921 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T17:28:03.964585 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
2026-03-07T17:56:47.489943 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T17:56:47.558919 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
2026-03-07T18:01:42.000061 | STOP_HOOK_START | session=c53e2ca3-204a-4266-bc27-e77653e8219a | event=Stop
2026-03-07T18:01:42.074699 | STOP_HOOK_END | session=c53e2ca3-204a-4266-bc27-e77653e8219a | captured=0
